10;401.058;401.057;401.054
20;404.857;404.841;404.822
30;408.244;408.211;408.168
40;411.395;411.345;411.269
50;414.211;414.142;414.026
60;416.762;416.677;416.519
70;419.045;418.938;418.73
80;421.124;420.995;420.733
90;422.991;422.841;422.523
100;424.637;424.469;424.095
110;426.066;425.877;425.446
120;427.348;427.134;426.646
130;428.526;428.284;427.736
140;429.56;429.289;428.682
150;430.557;430.256;429.589
160;431.428;431.101;430.378
170;432.198;431.845;431.07
180;432.876;432.499;431.675
190;433.492;433.091;432.221
200;434.042;433.618;432.704
210;434.538;434.093;433.141
220;434.997;434.531;433.542
230;435.403;434.917;433.896
240;435.751;435.248;434.201
250;436.031;435.508;434.438
260;436.288;435.746;434.655
270;436.524;435.959;434.85
280;436.699;436.111;434.989
290;436.86;436.251;435.118
300;437.028;436.392;435.248
310;437.145;436.482;435.333
320;437.255;436.56;435.408
330;437.35;436.625;435.475
340;437.429;436.672;435.527
350;437.496;436.704;435.568
360;437.54;436.709;435.59
370;437.579;436.708;435.61
380;437.604;436.693;435.619
390;437.607;436.65;435.61
400;437.602;436.595;435.596
410;437.567;436.507;435.557
420;437.532;436.418;435.525
430;437.47;436.297;435.474
440;437.379;436.146;435.409
450;437.272;435.977;435.335
460;437.141;435.784;435.25
470;436.988;435.567;435.16
480;436.829;435.348;435.075
490;436.642;435.101;434.982
500;436.425;434.83;434.884
510;436.192;434.548;434.79
520;435.934;434.243;434.687
530;435.657;433.933;434.597
540;435.353;433.609;434.508
550;435.016;433.266;434.425
560;434.656;432.92;434.352
570;434.297;432.588;434.294
580;433.943;432.276;434.252
590;433.583;431.982;434.233
600;433.204;431.695;434.23
610;432.863;431.456;434.252
620;432.535;431.251;434.301
630;432.262;431.105;434.372
640;432.024;431.002;434.467
650;431.844;430.955;434.574
660;431.732;430.96;434.683
670;431.681;431.001;434.788
680;431.697;431.064;434.851
690;431.767;431.117;434.846
700;431.864;431.121;434.723
710;431.973;431.02;434.429
720;432.06;430.757;433.86
730;432.089;430.241;432.862
740;432.023;429.353;431.154
750;431.818;427.947;428.31
760;431.423;425.782;423.502
770;430.771;422.536;415.553
780;429.799;417.864;403.026
790;428.442;411.449;384.906
800;426.544;402.611;359.694
810;424.036;391.179;328.507
820;420.714;376.668;292.95
830;416.476;359.324;256.65
840;411.182;339.55;222.664
850;404.666;317.92;192.84
860;396.678;294.914;167.535
870;387.289;271.862;147.129
880;376.658;249.837;131.066
890;364.074;228.135;117.868
900;349.824;207.696;107.169
910;334.075;189.029;98.6809
920;317.758;172.85;92.1026
930;300.378;158.194;86.5974
940;281.647;144.724;81.9259
950;262.585;132.904;78.0838
960;244.055;122.826;75.0087
970;225.121;113.67;72.3406
980;206.792;105.686;70.1086
990;189.199;98.7289;68.2787
1000;172.086;92.4485;66.6785
1010;155.878;86.9845;65.4387
1020;140.741;82.2709;64.5373
1030;126.707;78.205;63.9485
1040;113.785;74.7669;63.7172
1050;101.879;72.0099;64.0077
1060;91.3984;70.1528;65.0442
1070;81.8941;69.4821;67.3918
1080;73.461;72.1607;72.7167
1090;-nan;-nan;-nan
